Seed,Incident Link,Feeder 1,Feeder 2,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins]
946,20454,20457,20458,14:37:35,18:09:52,3:32:17,212.28
946,24751,17630,17611,16:16:14,17:08:50,0:52:36,52.6
946,25182,17260,18236,8:32:33,9:09:23,0:36:50,36.83
951,8342,13404,12848,16:18:37,16:57:00,0:38:23,38.38
951,12907,12904,13618,13:37:00,14:44:34,1:07:34,67.57
951,12926,13634,12924,19:28:50,20:34:11,1:05:21,65.35
951,12975,12972,12969,13:13:23,14:39:00,1:25:37,85.62
951,12982,13449,12980,17:30:53,18:01:39,0:30:46,30.77
951,12984,13464,13468,14:47:42,18:04:00,3:16:18,196.3
951,13072,13570,13069,17:49:06,18:44:23,0:55:17,55.28
951,13273,13204,13226,16:48:01,18:15:11,1:27:10,87.17
951,13485,13131,13122,8:53:40,10:56:46,2:03:06,123.1
951,13490,13137,13135,18:01:14,20:52:40,2:51:26,171.43
951,14512,14516,13429,18:02:09,18:33:12,0:31:03,31.05
951,14513,13441,13438,12:42:56,14:29:00,1:46:04,106.07
951,16507,16506,16809,15:22:14,16:18:07,0:55:53,55.88
951,16583,16582,16580,8:48:41,9:22:55,0:34:14,34.23
951,16613,16665,16214,15:18:33,16:02:12,0:43:39,43.65
951,17632,24753,17875,9:14:42,9:45:51,0:31:09,31.15
951,18249,20801,18260,15:25:22,16:56:49,1:31:27,91.45
951,19733,19732,19727,8:33:44,9:42:08,1:08:24,68.4
951,20819,16871,16632,8:53:03,10:24:45,1:31:42,91.7
951,25182,17260,18236,12:39:32,14:56:03,2:16:31,136.52
